Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1996,0.27,0.49,0.33,0.38,0.29,0.27,0.37,0.49,0.27,0.2,0.42,0.41
1997,0.32,0.37,0.52,0.37,0.39,0.55,0.35,0.42,0.55,0.64,0.66,0.6
1998,0.61,0.89,0.63,0.64,0.71,0.78,0.71,0.68,0.45,0.46,0.5,0.56
1999,0.48,0.66,0.34,0.34,0.33,0.37,0.41,0.34,0.43,0.43,0.42,0.46
2000,0.26,0.58,0.6,0.59,0.4,0.44,0.42,0.43,0.42,0.29,0.34,0.31
2001,0.44,0.46,0.58,0.52,0.59,0.54,0.61,0.49,0.56,0.51,0.7,0.55
2002,0.75,0.76,0.91,0.58,0.65,0.54,0.62,0.55,0.65,0.57,0.59,0.43
2003,0.73,0.55,0.57,0.55,0.63,0.49,0.55,0.66,0.66,0.76,0.55,0.75
2004,0.59,0.71,0.64,0.62,0.42,0.43,0.26,0.45,0.54,0.66,0.72,0.5
2005,0.71,0.57,0.72,0.7,0.65,0.67,0.66,0.63,0.78,0.8,0.76,0.68
2006,0.58,0.69,0.63,0.51,0.47,0.64,0.54,0.71,0.64,0.69,0.72,0.77
2007,0.96,0.7,0.7,0.76,0.67,0.58,0.62,0.6,0.64,0.6,0.57,0.49
2008,0.25,0.36,0.73,0.53,0.51,0.48,0.6,0.44,0.65,0.67,0.67,0.54
2009,0.62,0.53,0.53,0.62,0.65,0.65,0.72,0.66,0.7,0.65,0.77,0.65
2010,0.73,0.79,0.92,0.87,0.75,0.64,0.62,0.65,0.61,0.71,0.8,0.49
2011,0.51,0.53,0.64,0.65,0.53,0.59,0.74,0.73,0.56,0.66,0.56,0.54
2012,0.46,0.49,0.58,0.69,0.76,0.62,0.56,0.63,0.76,0.77,0.75,0.52
2013,0.68,0.55,0.66,0.52,0.61,0.65,0.59,0.66,0.78,0.69,0.81,0.66
2014,0.73,0.52,0.77,0.78,0.86,0.65,0.57,0.82,0.9,0.85,0.67,0.79
2015,0.82,0.86,0.9,0.74,0.77,0.77,0.71,0.78,0.81,1.06,0.99,1.09
2016,1.13,1.31,1.28,1.07,0.93,0.78,0.83,0.99,0.88,0.88,0.87,0.79
